"S023296"	"S023297"	"S023300"	"S023301"	"S023312"	"S023313"	"S023314"	"S023318"	"S023322"	"S023331"	"S023332"	"S023333"	"S023334"	"S023335"	"S023336"	"S023337"	"S023351"	"S023355"	"S023360"	"S023361"	"S023372"	"S023373"	"S023374"	"S023375"	"S023377"	"S023379"	"S023380"	"S023381"	"S023382"
"ba38c48c78fd61a943cb812e4e334b00"	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"b6050b50a52b944c91b44516d779ba6c"	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"cc7903d63f55fb05e2364509eb29aabd"	0	0	15	0	0	18	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ac45ef488ea258209186959ad13cf486"	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"c6e451bed227dfa6b57e2f526aed356f"	0	0	62	0	0	0	0	0	27	0	0	0	0	0	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0
"3af3b91bba28a39ec715721587203e39"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"40ef2cbc2af2028ffb01d3d3a7c22460"	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"23dae9dce43dcfe050aeb1226f1840ce"	0	16	14	9	0	31	22	0	58	17	60	0	15	15	34	8	7	41	8	12	0	16	32	13	97	0	0	0	0
"6886e669f440bd65506d04893bd727f5"	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"eeca80eb0cfecbfcb35af0f3d6fc9909"	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0
"a93db13350485c7d6e75072a63cf2d0b"	0	0	14	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"539735e9d56c7c72d7370c0de1b833b4"	0	0	0	0	0	0	0	0	0	0	8	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"21577649475c9527cc6849fda2e787d0"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0
"6499e280231962dd194afbbaaea41236"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
"06a49bc93bd02f619411f4f7b620faaf"	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"0c6588bb1528b76afd3146bd3f7aff97"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
"4c36d47c75119df861633ad98e9d6c51"	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"66a4176361099d4c202ea9a4b361408a"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"7a5ac7342cccfee435ba4f0c367d4294"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	6	0
